epoch;training_loss;validation_loss;difference;accuracy
242;1.91983;1.92872;0.00889;0.37560
243;1.92058;1.92713;0.00655;0.37800
244;1.91922;1.92933;0.01011;0.37800
245;1.92003;1.93238;0.01235;0.37920
246;1.92059;1.93385;0.01326;0.38140
247;1.91897;1.93207;0.01310;0.38230
248;1.91878;1.93048;0.01170;0.37710
249;1.92113;1.93309;0.01196;0.37710
250;1.92076;1.93184;0.01108;0.37810
251;1.92029;1.93236;0.01206;0.38270
252;1.92081;1.93124;0.01042;0.37870
253;1.91914;1.93169;0.01255;0.38140
254;1.92087;1.93202;0.01115;0.37610
255;1.92004;1.93049;0.01045;0.37760
256;1.91974;1.93277;0.01303;0.38080
257;1.91897;1.93088;0.01191;0.38100
258;1.92005;1.93145;0.01139;0.37740
259;1.92084;1.93755;0.01671;0.38020
260;1.92117;1.93033;0.00916;0.38020
261;1.92285;1.93430;0.01144;0.38230
262;1.92150;1.93298;0.01147;0.37390
263;1.91954;1.93223;0.01269;0.37720
264;1.91935;1.93029;0.01094;0.37940
265;1.92045;1.93139;0.01094;0.37440
266;1.91948;1.93344;0.01395;0.38340
267;1.92102;1.92800;0.00698;0.38080
268;1.91931;1.92882;0.00952;0.37850
269;1.91922;1.93221;0.01300;0.37840
270;1.91999;1.93514;0.01515;0.37970
271;1.92024;1.93452;0.01427;0.37880
272;1.91923;1.93095;0.01172;0.38260
273;1.92014;1.93082;0.01068;0.37820
274;1.92037;1.93263;0.01225;0.37850
275;1.91989;1.93132;0.01143;0.37920
276;1.92013;1.93241;0.01228;0.37790
277;1.92047;1.92811;0.00765;0.37680
278;1.92021;1.92788;0.00767;0.37860
279;1.91914;1.92669;0.00755;0.38170
280;1.91907;1.92616;0.00709;0.38110
281;1.91993;1.92393;0.00400;0.37840
282;1.91995;1.93100;0.01105;0.37670
283;1.91982;1.93470;0.01487;0.38320
284;1.91961;1.93150;0.01189;0.38030
285;1.92011;1.92812;0.00801;0.37660
286;1.91962;1.93473;0.01511;0.37760
287;1.91867;1.93035;0.01168;0.38370
288;1.91936;1.93288;0.01352;0.37950
289;1.92159;1.93249;0.01090;0.37740
290;1.92034;1.93127;0.01093;0.37540
291;1.91916;1.92985;0.01069;0.37860
292;1.92110;1.92629;0.00519;0.37760
293;1.92170;1.93440;0.01270;0.38070
294;1.91911;1.93122;0.01211;0.37580
295;1.92006;1.93156;0.01151;0.37740
296;1.92067;1.93689;0.01622;0.37630
297;1.91906;1.93354;0.01448;0.37820
298;1.92009;1.93437;0.01428;0.38300
299;1.92159;1.93466;0.01307;0.37320
300;1.92069;1.93098;0.01030;0.37640
301;1.92029;1.93123;0.01095;0.38150
302;1.91994;1.93212;0.01218;0.37400
303;1.92079;1.93250;0.01171;0.37650
304;1.92008;1.93117;0.01109;0.37630
305;1.92024;1.92789;0.00766;0.38030
306;1.92020;1.93198;0.01178;0.37960
307;1.91857;1.92927;0.01070;0.37870
308;1.92055;1.93679;0.01624;0.37930
309;1.91989;1.93557;0.01568;0.37920
310;1.91989;1.93055;0.01066;0.37480
311;1.92109;1.93529;0.01420;0.37700
312;1.92031;1.92870;0.00839;0.38010
313;1.91936;1.93029;0.01093;0.37890
314;1.91903;1.92970;0.01068;0.38020
315;1.91960;1.93151;0.01191;0.37950
316;1.91935;1.93302;0.01367;0.38250
317;1.92174;1.93467;0.01293;0.37710
318;1.92024;1.93293;0.01268;0.37920
319;1.92053;1.93124;0.01071;0.38070
320;1.92102;1.92888;0.00785;0.37530
321;1.91867;1.92873;0.01006;0.37670
322;1.91986;1.93470;0.01484;0.38080
323;1.92107;1.93144;0.01037;0.37190
324;1.91910;1.93229;0.01319;0.38120
325;1.92058;1.93066;0.01008;0.38030
326;1.91899;1.93126;0.01228;0.37600
327;1.92074;1.93614;0.01539;0.38010
328;1.92066;1.93246;0.01180;0.37540
329;1.92028;1.93106;0.01079;0.37950
330;1.92177;1.93670;0.01494;0.37790
331;1.91862;1.93222;0.01360;0.37950
332;1.92093;1.93299;0.01206;0.38230
333;1.92152;1.93883;0.01732;0.37930
334;1.91935;1.93353;0.01418;0.37940
335;1.91928;1.92851;0.00923;0.37890
336;1.91963;1.93195;0.01232;0.37940
337;1.92026;1.93278;0.01253;0.37530
338;1.92042;1.92993;0.00951;0.37850
339;1.92058;1.93010;0.00952;0.37990
340;1.91883;1.93150;0.01267;0.38060
341;1.91974;1.93297;0.01323;0.37490
342;1.91929;1.93175;0.01245;0.38130
343;1.91917;1.93371;0.01455;0.37940
344;1.91990;1.93234;0.01244;0.37830
345;1.91909;1.92970;0.01062;0.38100
346;1.92108;1.93207;0.01099;0.37530
347;1.92022;1.92991;0.00969;0.37950
348;1.92065;1.93225;0.01160;0.37880
349;1.92027;1.93231;0.01204;0.37910
350;1.92049;1.92839;0.00790;0.38170
351;1.92146;1.93539;0.01393;0.37990
352;1.92008;1.93198;0.01190;0.37980
353;1.91950;1.93223;0.01273;0.37570
354;1.92025;1.93219;0.01193;0.37870
355;1.92049;1.92962;0.00913;0.37740
356;1.92190;1.93453;0.01263;0.37840
357;1.92008;1.93432;0.01424;0.37960
358;1.91949;1.93081;0.01132;0.37990
359;1.92079;1.93552;0.01473;0.37520
360;1.91938;1.93095;0.01158;0.37720
361;1.91982;1.92882;0.00900;0.37930
362;1.92107;1.93353;0.01245;0.37800
363;1.91983;1.93475;0.01492;0.37900
364;1.92006;1.93461;0.01455;0.38190
365;1.92105;1.93666;0.01561;0.37370
366;1.91913;1.93040;0.01128;0.37680
367;1.91984;1.93109;0.01124;0.38080
368;1.92079;1.93406;0.01326;0.37930
369;1.91955;1.93412;0.01457;0.38070
370;1.91987;1.93437;0.01450;0.38230
371;1.91946;1.93246;0.01300;0.38100
372;1.92006;1.93144;0.01138;0.37750
373;1.91994;1.92915;0.00920;0.38230
374;1.92202;1.93822;0.01620;0.37840
375;1.91938;1.92791;0.00853;0.37880
376;1.92016;1.92973;0.00957;0.38270
377;1.91990;1.92912;0.00922;0.37540
378;1.91939;1.93355;0.01416;0.38030
379;1.92039;1.93570;0.01532;0.37970
380;1.91988;1.93497;0.01508;0.37700
381;1.92048;1.93040;0.00992;0.37960
382;1.92122;1.92993;0.00872;0.37580
383;1.92082;1.92760;0.00678;0.37780
384;1.92085;1.93530;0.01445;0.37220
385;1.91878;1.93400;0.01522;0.37710
386;1.92023;1.92935;0.00912;0.37750
387;1.92021;1.93230;0.01208;0.38150
388;1.92015;1.93152;0.01137;0.37720
389;1.91892;1.93263;0.01371;0.37800
390;1.91998;1.93512;0.01515;0.37820
391;1.92055;1.93204;0.01149;0.37750
392;1.91980;1.93444;0.01464;0.37490
393;1.92075;1.93197;0.01122;0.37580
394;1.91927;1.93321;0.01394;0.37810
395;1.91917;1.92904;0.00987;0.37980
396;1.92090;1.92484;0.00394;0.37550
397;1.91927;1.93216;0.01289;0.37790
398;1.92016;1.93395;0.01379;0.38320
399;1.91945;1.93180;0.01235;0.38210
400;1.92159;1.93381;0.01222;0.37420
401;1.91883;1.92986;0.01103;0.37810
402;1.92084;1.93503;0.01419;0.37760
403;1.91993;1.93692;0.01698;0.38000
404;1.92163;1.93012;0.00849;0.38210
405;1.91990;1.92909;0.00919;0.37400
406;1.91863;1.92717;0.00854;0.38070
407;1.92099;1.93457;0.01359;0.37620
408;1.91989;1.93057;0.01067;0.37550
409;1.92073;1.93195;0.01122;0.37620
410;1.91927;1.93136;0.01209;0.37780
411;1.92065;1.93415;0.01351;0.38090
412;1.92125;1.93705;0.01581;0.37770
413;1.92002;1.93228;0.01227;0.38320
414;1.91974;1.92913;0.00939;0.37780
415;1.92037;1.93321;0.01284;0.37770
416;1.91932;1.93198;0.01266;0.37650
417;1.92119;1.92912;0.00793;0.37340
