step;smooth_loss;loss
42901; 49.860532;50.387512
43001; 49.927262;57.084825
43101; 49.813622;39.155238
43201; 49.699650;48.109560
43301; 49.569974;69.006903
43401; 49.680616;40.539601
43501; 49.595218;44.211753
43601; 49.586588;41.588138
43701; 49.734295;66.316521
43801; 49.934598;58.741088
43901; 49.833138;50.601132
44001; 49.812771;42.051979
44101; 49.875733;56.203705
44201; 49.848197;50.726310
44301; 49.777060;39.994841
44401; 50.342623;56.870163
44501; 50.495408;42.136514
44601; 50.570090;59.359778
44701; 50.398481;61.595503
44801; 50.553174;45.806054
44901; 50.769675;53.599728
45001; 50.912214;61.455733
45101; 50.839329;46.452817
45201; 50.695200;39.612232
45301; 50.636774;54.086731
45401; 50.564767;50.309941
45501; 50.511528;57.802598
45601; 50.401367;60.336839
45701; 50.556592;47.269771
45801; 50.486859;51.321124
45901; 50.837539;54.582641
46001; 51.250654;62.354838
46101; 51.293428;52.888448
46201; 51.310556;49.875604
46301; 51.281450;58.248769
46401; 51.159606;40.774592
46501; 51.019584;48.394014
46601; 51.184716;60.930414
46701; 51.321821;52.436790
46801; 51.265575;54.322361
46901; 51.353699;51.481877
47001; 51.259973;40.938563
47101; 51.176255;51.287021
47201; 50.968759;53.690216
47301; 50.956158;43.819758
47401; 50.910726;41.224649
47501; 50.744321;44.549199
47601; 50.755431;72.570321
47701; 50.678664;46.857398
47801; 50.510480;56.858346
47901; 50.476578;53.790228
48001; 50.611544;44.457569
48101; 50.797311;60.174409
48201; 50.723359;56.837004
48301; 50.664674;58.806371
48401; 50.781648;72.021665
48501; 50.864611;69.213307
48601; 50.837039;54.394298
48701; 50.852805;41.772033
48801; 50.934042;39.730283
48901; 50.840607;46.827002
49001; 50.894575;54.758340
49101; 50.789022;43.479117
49201; 50.843175;40.869240
49301; 50.739096;56.428488
49401; 50.681784;54.629977
49501; 50.825462;55.416030
49601; 51.056444;35.540994
49701; 51.230588;44.588575
49801; 51.294877;62.328597
49901; 51.322715;33.800602
50001; 51.299837;60.333306
50101; 51.462021;59.019990
50201; 51.411376;50.680113
50301; 51.308192;60.034087
50401; 51.399719;58.571080
50501; 51.487069;44.023420
50601; 51.516659;50.820546
50701; 52.053154;46.469602
50801; 52.292616;88.071309
50901; 52.414177;53.416542
51001; 52.425788;57.606404
51101; 52.522381;43.931466
51201; 52.479465;50.096307
51301; 52.363997;37.863039
51401; 52.181464;34.168888
51501; 51.859811;46.579164
51601; 51.470988;40.337724
51701; 51.241576;51.468964
51801; 51.042330;55.532728
51901; 50.923291;28.679049
52001; 50.622109;47.880769
52101; 50.412221;53.244267
52201; 50.140438;57.742770
52301; 50.125210;46.444903
52401; 50.095164;60.556996
52501; 50.014112;45.424414
52601; 49.930143;40.055596
52701; 49.706080;38.083291
52801; 49.429671;53.994303
52901; 49.404620;53.330784
53001; 49.427801;44.755612
53101; 49.775025;65.258929
53201; 49.880598;39.496995
53301; 49.794714;27.269159
53401; 49.915100;69.715445
53501; 50.146983;55.734545
53601; 50.131817;56.846109
53701; 50.156600;47.253950
53801; 50.256294;94.701166
53901; 50.261472;50.169503
54001; 50.206179;57.637757
54101; 50.410796;54.092577
54201; 50.261861;53.527156
54301; 50.438364;36.940140
54401; 50.577414;39.078585
